values,cdf
-2.596018510359074,0.002967359050445104
-2.4445210777013417,0.005934718100890208
-2.4346090066380834,0.008902077151335312
-2.4164545018590755,0.011869436201780416
-2.319418846761678,0.01483679525222552
-2.2991890390072713,0.017804154302670624
-2.2898910799342165,0.020771513353115726
-2.28586107801418,0.02373887240356083
-2.181654877603478,0.026706231454005934
-2.0843405113634983,0.02967359050445104
-2.0508431993073506,0.032640949554896145
-2.041397261813263,0.03560830860534125
-2.0335285769653755,0.03857566765578635
-2.023666570598606,0.04154302670623145
-2.0096002405984956,0.04451038575667656
-2.006547025980429,0.04747774480712166
-1.9997803854101621,0.050445103857566766
-1.982789003053084,0.05341246290801187
-1.9779832318126254,0.05637982195845697
-1.9718025357137803,0.05934718100890208
-1.9605072840374325,0.06231454005934718
-1.95808590867979,0.06528189910979229
-1.9298220083131732,0.06824925816023739
-1.9185560907340709,0.0712166172106825
-1.9122220713964924,0.07418397626112759
-1.9069309792202354,0.0771513353115727
-1.9024074854251256,0.08011869436201781
-1.8553711989718418,0.0830860534124629
-1.8478124504314233,0.08605341246290801
-1.8247664754750457,0.08902077151335312
-1.8192342853746184,0.09198813056379822
-1.8180533641335272,0.09495548961424333
-1.78481931334948,0.09792284866468842
-1.7842857099297724,0.10089020771513353
-1.7755952263501644,0.10385756676557864
-1.7477998638071492,0.10682492581602374
-1.5867777236126153,0.10979228486646884
-1.473269192657745,0.11275964391691394
-1.4476353982210883,0.11572700296735905
-1.4469305021671388,0.11869436201780416
-1.1844155181887368,0.12166172106824925
-1.1571575365552542,0.12462908011869436
-1.0920809052584162,0.12759643916913946
-1.081791521935426,0.13056379821958458
-1.0562614371992258,0.13353115727002968
-1.0249669684933784,0.13649851632047477
-0.94716450191619,0.1394658753709199
-0.944569348301919,0.142433234421365
-0.9394748879209055,0.14540059347181009
-0.9304078141925523,0.14836795252225518
-0.9236162128259641,0.1513353115727003
-0.8523602335002896,0.1543026706231454
-0.8223936536330175,0.1572700296735905
-0.8145840101188451,0.16023738872403562
-0.802389542992658,0.1632047477744807
-0.7944238059771221,0.1661721068249258
-0.7878686981626597,0.16913946587537093
-0.7798310451435412,0.17210682492581603
-0.7727051219437822,0.17507418397626112
-0.763561455174683,0.17804154302670624
-0.7595568391754599,0.18100890207715134
-0.7568135387467483,0.18397626112759644
-0.755105232813144,0.18694362017804153
-0.7541613620526176,0.18991097922848665
-0.7473786144135749,0.19287833827893175
-0.7429804694761111,0.19584569732937684
-0.7419038255741469,0.19881305637982197
-0.7391681868041867,0.20178041543026706
-0.7295804587384709,0.20474777448071216
-0.7209013162938283,0.20771513353115728
-0.7161641641918834,0.21068249258160238
-0.7152260541316479,0.21364985163204747
-0.7104038386863749,0.2166172106824926
-0.706521968239904,0.2195845697329377
-0.7030436737294571,0.22255192878338279
-0.6947124098445485,0.22551928783382788
