values,cdf
-2.493387379346537,0.002777777777777778
-2.124598968296775,0.005555555555555556
-2.0735180766482655,0.008333333333333333
-2.0584119619176486,0.011111111111111112
-1.999380295886921,0.013888888888888888
-1.993682267128675,0.016666666666666666
-1.9878075123690409,0.019444444444444445
-1.9541661662088181,0.022222222222222223
-1.9519803011852683,0.025
-1.9243779482887988,0.027777777777777776
-1.91208032343066,0.030555555555555555
-1.896571979268276,0.03333333333333333
-1.8895554184768093,0.03611111111111111
-1.864450823204512,0.03888888888888889
-1.864450823204512,0.041666666666666664
-1.864450823204512,0.044444444444444446
-1.8344949591966315,0.04722222222222222
-1.8263246794669095,0.05
-1.7833888252295513,0.05277777777777778
-1.7784655102960836,0.05555555555555555
-1.7420454916954076,0.058333333333333334
-1.7347239401349825,0.06111111111111111
-1.7230667052624498,0.06388888888888888
-1.7206343279586664,0.06666666666666667
-1.7046797596502021,0.06944444444444445
-1.669140168688662,0.07222222222222222
-1.6663904040268198,0.075
-1.6663904040268198,0.07777777777777778
-1.6321455760346626,0.08055555555555556
-1.6095018803308598,0.08333333333333333
-1.5983030064190222,0.08611111111111111
-1.57631734784257,0.08888888888888889
-1.5562758307479354,0.09166666666666666
-1.5561077516579975,0.09444444444444444
-1.5512358910822839,0.09722222222222222
-1.5493891730321376,0.1
-1.5379880576138467,0.10277777777777777
-1.509097559671885,0.10555555555555556
-1.5009445344114405,0.10833333333333334
-1.4981189902356524,0.1111111111111111
-1.495128949718437,0.11388888888888889
-1.4694538678431934,0.11666666666666667
-1.460044521804186,0.11944444444444445
-1.4519696363138124,0.12222222222222222
-1.4519696363138124,0.125
-1.4501586612172492,0.12777777777777777
-1.4476901842074779,0.13055555555555556
-1.4361863656587284,0.13333333333333333
-1.434052789034297,0.1361111111111111
-1.434052789034297,0.1388888888888889
-1.4322481497027528,0.14166666666666666
-1.4320841231388979,0.14444444444444443
-1.4274935123777908,0.14722222222222223
-1.4222521352594448,0.15
-1.4209426286137812,0.1527777777777778
-1.4191426032921084,0.15555555555555556
-1.41799746175667,0.15833333333333333
-1.396125329557781,0.16111111111111112
-1.3935199481035963,0.1638888888888889
-1.3935199481035963,0.16666666666666666
-1.378564571976577,0.16944444444444445
-1.3631669829380155,0.17222222222222222
-1.3484607051490394,0.175
-1.3436216484369332,0.17777777777777778
-1.275867882143495,0.18055555555555555
-1.2730042554387955,0.18333333333333332
-1.2555384248427135,0.18611111111111112
-1.2228284944389776,0.18888888888888888
-1.2023900240642496,0.19166666666666668
-1.1370508212944817,0.19444444444444445
-1.1177138433604354,0.19722222222222222
-1.0986010404461892,0.2
-1.0950634802406731,0.20277777777777778
-1.0884560935745418,0.20555555555555555
-1.0723561978138696,0.20833333333333334
-1.0670003700180868,0.2111111111111111
-1.0589003512219517,0.21388888888888888
-1.054473468711053,0.21666666666666667
-1.0514225852158974,0.21944444444444444
-1.0514225852158974,0.2222222222222222
-1.0441075717682176,0.225
-1.0380193712538488,0.22777777777777777
-1.0340657569650769,0.23055555555555557
-1.0326978790605326,0.23333333333333334
-1.0316342158680856,0.2361111111111111
-1.0228291324910326,0.2388888888888889
-1.0188867231269378,0.24166666666666667
-1.0175227188739002,0.24444444444444444
-1.01388707118999,0.24722222222222223
-1.01388707118999,0.25
-1.01388707118999,0.25277777777777777
-1.0128271384541474,0.25555555555555554
-1.012524339029047,0.25833333333333336
-1.0097999136857003,0.2611111111111111
-0.9936332189221014,0.2638888888888889
-0.9871500110664186,0.26666666666666666
-0.9865473194500334,0.26944444444444443
-0.981728217532711,0.2722222222222222
-0.9779662968469774,0.275
-0.9677471580875527,0.2777777777777778
-0.9585964595951386,0.28055555555555556
-0.9581468258327578,0.2833333333333333
-0.9581468258327578,0.2861111111111111
-0.9564984894324746,0.28888888888888886
-0.9564984894324746,0.2916666666666667
-0.9554498103689484,0.29444444444444445
-0.9526044231690074,0.2972222222222222
-0.9502094711264703,0.3
-0.9485635579855864,0.30277777777777776
-0.9461703981510552,0.3055555555555556
-0.9439277738989709,0.30833333333333335
-0.943479360800749,0.3111111111111111
-0.9413872585035248,0.3138888888888889
-0.9373547765545478,0.31666666666666665
-0.9340712740391549,0.3194444444444444
