fid,risk,CODE_5_18
2632,17,11110
2633,17,11110
2634,17,11110
2635,17,11110
2636,17,11110
2637,17,11110
2638,17,11110
2639,17,11110
2640,17,11110
2641,17,11110
2642,17,11110
2643,17,11110
2644,17,11110
2645,17,11110
2646,17,11110
2647,17,11110
2648,17,11110
2649,17,11110
2650,15,11120
2651,15,11120
2652,15,11120
2653,15,11110
2654,15,11110
2655,15,11110
2656,15,11120
2657,15,11120
2658,15,11120
2659,16,11110
2660,16,11110
2661,16,11110
2662,17,11110
2663,17,11110
2664,17,11110
2665,17,11110
2666,17,11110
2667,17,11110
2668,17,11110
2669,17,11110
2670,17,11110
2671,17,11110
2672,17,11110
2673,17,11110
2674,17,11110
2675,17,11110
2676,17,11110
2677,17,11110
2678,17,11110
2679,17,11110
2680,17,11110
2681,15,11120
2682,15,11120
2683,15,11120
2684,15,11120
2685,15,11110
2686,15,11110
2687,15,11110
2688,15,11110
2689,15,11110
2690,15,11110
2691,15,11110
2692,15,11110
2693,15,11110
2694,15,11110
2695,16,11110
2696,16,11110
2697,16,11110
2698,16,11110
2699,17,11110
2700,17,11110
2701,17,11110
2702,17,11110
2703,17,11110
2704,17,11110
2705,17,11110
2706,17,11110
2707,17,11110
2708,17,11110
2709,17,11110
2710,16,11110
2711,15,11110
2712,15,11110
2713,15,11120
2714,15,11110
2715,15,11110
2716,15,11110
2717,15,11110
2718,15,11110
2719,16,11110
2720,16,11110
2721,16,11110
2722,16,11110
2723,17,11110
2724,17,11110
2725,17,11110
2726,17,11110
2727,17,11110
2728,17,11110
2729,17,11110
2730,17,11110
2731,17,11110
2732,17,11110
2733,17,11110
2734,16,11110
2735,15,14000
2736,15,14000
2737,15,11120
2738,15,11110
2739,15,11110
2740,15,11110
2741,15,11110
2742,16,11110
2743,16,11110
2744,16,11110
2745,16,11110
2746,17,11110
2747,17,11110
2748,17,11110
2749,17,11110
2750,17,11110
2751,17,11110
2752,17,11110
2753,17,11110
2754,17,11110
2755,17,11110
2756,17,11110
2757,16,11110
2758,15,14000
2759,15,14000
2760,15,11110
2761,15,11110
2762,15,11110
2763,15,11110
2764,16,11110
2765,16,11110
2766,16,11110
2767,17,11110
2768,17,11110
2769,17,11110
2770,15,11110
2771,15,11110
2772,15,11110
2773,15,11110
2774,15,11110
2775,15,11110
2776,15,11110
2777,16,11110
2778,16,11110
2779,16,11110
2780,17,11110
2781,17,11110
2782,17,11110
2783,15,11110
2784,15,11110
2785,15,11110
2786,15,11110
2787,15,11110
2788,15,11110
2789,15,11110
2790,16,11110
2791,16,11110
2792,16,11110
2793,17,11110
2794,17,11110
