year,m,f,t
2015,32893,36260,69163
2016,32506,35970,68482
2017,32427,35834,68268
2018,32302,35674,67988
2019,32251,35532,67795
2020,32269,35416,67696
2021,32133,35273,67413
2022,31322,34463,65797
2023,30856,33937,64807
2024,30077,33070,63155
2025,29421,32347,61777
2026,29280,32147,61442
2027,29133,31939,61082
2028,28971,31730,60716
2029,28810,31515,60334
